Model,Accuracy,Notes
ViT Baseline,0.9713091922005571,"Baseline model trained on NCT-CRC-HE-100K train split, evaluated on CRC-VAL-HE-7K."
MedGemma QLoRA,0.26016713091922006,"MedGemma fine-tuned with QLoRA on NCT-CRC-HE-100K train split, evaluated on CRC-VAL-HE-7K (valid predictions only)."
