label,precision,recall,f1-score,support
ADI,1.0,0.002,0.003992015968063872,500
BACK,0.0,0.0,0.0,0
DEB,0.0,0.0,0.0,0
LYM,0.0,0.0,0.0,0
MUC,0.0,0.0,0.0,0
MUS,0.0,0.0,0.0,0
NORM,0.0,0.0,0.0,0
STR,0.0,0.0,0.0,0
TUM,0.0,0.0,0.0,0
accuracy,0.002,0.002,0.002,500
macro avg,0.1111111111111111,0.00022222222222222223,0.00044355732978487467,500
weighted avg,0.0,0.0,0.003992015968063872,500
