,ADI,BACK,DEB,LYM,MUC,MUS,NORM,STR,TUM
ADI,1,36,0,1,0,0,449,0,13
BACK,0,0,0,0,0,0,0,0,0
DEB,0,0,0,0,0,0,0,0,0
LYM,0,0,0,0,0,0,0,0,0
MUC,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,0,0,0
NORM,0,0,0,0,0,0,0,0,0
STR,0,0,0,0,0,0,0,0,0
TUM,0,0,0,0,0,0,0,0,0
