epoch,train_loss,train_acc,val_loss,val_acc,seconds,lr
1,0.10437295213540396,0.9696555555555556,0.018418587255477906,0.9936,1808.5405838489532,0.0002713525491562421
2,0.0334818276670244,0.9897777777777778,0.015002865958213806,0.9956,1821.2607061862946,0.0001963525491562421
3,0.019493503590424857,0.9939333333333333,0.007010004818439484,0.9982,1835.5992302894592,0.00010364745084375788
4,0.008976867225435045,0.9971333333333333,0.033376885533332824,0.992,1836.317708015442,2.8647450843757894e-05
5,0.005131663159529368,0.9983444444444445,0.005262415957450866,0.9979,1835.1239798069,0.0
